case,model,step,n_fixed,n_fixed_wallband,n_fixed_outer,n_moved,Eddy_Viscosity_band_scale,Eddy_Viscosity_band_rms_rel,Eddy_Viscosity_band_max_rel,Eddy_Viscosity_outer_scale,Eddy_Viscosity_outer_rms_rel,Eddy_Viscosity_outer_max_rel,Turb_Kin_Energy_band_scale,Turb_Kin_Energy_band_rms_rel,Turb_Kin_Energy_band_max_rel,Turb_Kin_Energy_outer_scale,Turb_Kin_Energy_outer_rms_rel,Turb_Kin_Energy_outer_max_rel,Omega_band_scale,Omega_band_rms_rel,Omega_band_max_rel,Omega_outer_scale,Omega_outer_rms_rel,Omega_outer_max_rel
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,150,10669,8590,2079,12602,7.8971e-06,2.916e-03,8.323e-02,1.7460e-06,1.348e-04,2.995e-03,2.0585e-04,8.455e-04,8.746e-03,1.3563e-06,3.245e-06,9.026e-05,5.4367e+05,4.258e-06,6.265e-05,8.8179e+00,1.539e-07,3.662e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,155,10669,8590,2079,12602,7.8971e-06,3.983e-03,1.652e-01,1.7460e-06,1.229e-04,2.395e-03,2.0585e-04,1.216e-03,2.632e-02,1.3563e-06,3.037e-06,7.268e-05,5.4367e+05,4.275e-06,8.381e-05,8.8179e+00,1.415e-07,2.996e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,160,10669,8590,2079,12602,7.8971e-06,3.140e-03,8.420e-02,1.7460e-06,1.631e-04,3.676e-03,2.0585e-04,9.661e-04,1.477e-02,1.3563e-06,4.451e-06,9.342e-05,5.4367e+05,4.027e-06,8.072e-05,8.8179e+00,1.751e-07,3.333e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,165,10669,8590,2079,12602,7.8971e-06,3.709e-03,7.709e-02,1.7460e-06,1.612e-04,3.789e-03,2.0585e-04,9.800e-04,8.024e-03,1.3563e-06,4.795e-06,1.077e-04,5.4367e+05,4.373e-06,1.802e-04,8.8179e+00,1.933e-07,3.736e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,170,10669,8590,2079,12602,7.8971e-06,2.964e-03,7.505e-02,1.7460e-06,1.320e-04,3.917e-03,2.0585e-04,6.860e-04,9.145e-03,1.3563e-06,4.008e-06,1.139e-04,5.4367e+05,5.094e-06,2.796e-04,8.8179e+00,1.989e-07,4.220e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,175,10669,8590,2079,12602,7.8971e-06,3.137e-03,9.668e-02,1.7460e-06,1.335e-04,3.659e-03,2.0585e-04,7.787e-04,9.851e-03,1.3563e-06,3.931e-06,1.065e-04,5.4367e+05,4.868e-06,2.497e-04,8.8179e+00,1.893e-07,3.957e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,180,10669,8590,2079,12602,7.8971e-06,2.483e-03,6.739e-02,1.7460e-06,1.792e-04,5.342e-03,2.0585e-04,7.811e-04,7.834e-03,1.3563e-06,4.799e-06,1.542e-04,5.4367e+05,4.499e-06,1.934e-04,8.8179e+00,2.118e-07,5.610e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,185,10669,8590,2079,12602,7.8971e-06,3.796e-03,1.051e-01,1.7460e-06,1.899e-04,5.437e-03,2.0585e-04,8.686e-04,1.241e-02,1.3563e-06,5.080e-06,1.555e-04,5.4367e+05,4.006e-06,1.045e-04,8.8179e+00,2.050e-07,5.520e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,190,10669,8590,2079,12602,7.8971e-06,2.703e-03,6.333e-02,1.7460e-06,2.342e-04,5.525e-03,2.0585e-04,7.290e-04,8.192e-03,1.3563e-06,5.880e-06,1.506e-04,5.4367e+05,3.842e-06,7.648e-05,8.8179e+00,2.235e-07,5.312e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,195,10669,8590,2079,12602,7.8971e-06,3.036e-03,6.404e-02,1.7460e-06,2.218e-04,5.490e-03,2.0585e-04,1.030e-03,1.353e-02,1.3563e-06,5.732e-06,1.546e-04,5.4367e+05,3.774e-06,7.560e-05,8.8179e+00,2.129e-07,5.236e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,200,10669,8590,2079,12602,7.8971e-06,3.444e-03,1.152e-01,1.7460e-06,2.425e-04,6.707e-03,2.0585e-04,1.005e-03,1.019e-02,1.3563e-06,6.320e-06,1.857e-04,5.4367e+05,3.944e-06,7.403e-05,8.8179e+00,2.370e-07,5.973e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,205,10669,8590,2079,12602,7.8971e-06,4.318e-03,1.349e-01,1.7460e-06,2.464e-04,7.580e-03,2.0585e-04,1.232e-03,1.446e-02,1.3563e-06,6.570e-06,2.107e-04,5.4367e+05,4.169e-06,7.599e-05,8.8179e+00,2.382e-07,6.865e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,210,10669,8590,2079,12602,7.8971e-06,3.216e-03,5.580e-02,1.7460e-06,2.897e-04,8.410e-03,2.0585e-04,1.812e-03,4.215e-02,1.3563e-06,7.329e-06,2.363e-04,5.4367e+05,5.358e-06,2.841e-04,8.8179e+00,2.586e-07,7.983e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,215,10669,8590,2079,12602,7.8971e-06,2.367e-03,4.614e-02,1.7460e-06,2.741e-04,8.397e-03,2.0585e-04,1.615e-03,2.458e-02,1.3563e-06,7.103e-06,2.340e-04,5.4367e+05,4.661e-06,2.189e-04,8.8179e+00,2.445e-07,7.703e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,220,10669,8590,2079,12602,7.8971e-06,2.383e-03,5.752e-02,1.7460e-06,2.794e-04,9.166e-03,2.0585e-04,1.539e-03,1.655e-02,1.3563e-06,7.403e-06,2.519e-04,5.4367e+05,4.023e-06,1.254e-04,8.8179e+00,2.606e-07,7.917e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,225,10669,8590,2079,12602,7.8971e-06,3.666e-03,1.594e-01,1.7460e-06,2.859e-04,1.035e-02,2.0585e-04,1.588e-03,1.679e-02,1.3563e-06,7.606e-06,2.837e-04,5.4367e+05,3.848e-06,9.093e-05,8.8179e+00,2.603e-07,8.865e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,230,10669,8590,2079,12602,7.8971e-06,2.645e-03,6.124e-02,1.7460e-06,2.754e-04,8.929e-03,2.0585e-04,1.521e-03,1.334e-02,1.3563e-06,7.299e-06,2.472e-04,5.4367e+05,4.194e-06,1.479e-04,8.8179e+00,2.510e-07,7.969e-06
RANS_SST_WD_0.01-20_ConsGalerkinProj_Drift_Second,SST,235,10669,8590,2079,12602,7.8971e-06,3.403e-03,9.658e-02,1.7460e-06,2.346e-04,6.446e-03,2.0585e-04,1.249e-03,1.025e-02,1.3563e-06,6.099e-06,1.787e-04,5.4367e+05,4.767e-06,2.301e-04,8.8179e+00,2.173e-07,5.768e-06
