model,setting,quantity,coeff,step,value
SA,production,NN2,CL,35,3.769419e-04
SA,production,NN2,CL,36,4.217413e-04
SA,production,NN2,CL,37,4.358164e-04
SA,production,NN2,CL,38,3.987658e-04
SA,production,NN2,CL,39,3.142696e-04
SA,production,NN2,CL,40,2.432342e-04
SA,production,NN2,CD,2,0.000000e+00
SA,production,NN2,CD,3,0.000000e+00
SA,production,NN2,CD,4,0.000000e+00
SA,production,NN2,CD,5,0.000000e+00
SA,production,NN2,CD,6,0.000000e+00
SA,production,NN2,CD,7,0.000000e+00
SA,production,NN2,CD,8,0.000000e+00
SA,production,NN2,CD,9,0.000000e+00
SA,production,NN2,CD,10,3.242154e-05
SA,production,NN2,CD,11,4.913671e-05
SA,production,NN2,CD,12,4.322750e-05
SA,production,NN2,CD,13,3.487735e-05
SA,production,NN2,CD,14,3.152837e-05
SA,production,NN2,CD,15,3.250510e-05
SA,production,NN2,CD,16,3.537855e-05
SA,production,NN2,CD,17,3.793264e-05
SA,production,NN2,CD,18,3.999661e-05
SA,production,NN2,CD,19,4.214468e-05
SA,production,NN2,CD,20,5.214453e-05
SA,production,NN2,CD,21,6.609979e-05
SA,production,NN2,CD,22,8.069207e-05
SA,production,NN2,CD,23,9.828167e-05
SA,production,NN2,CD,24,1.019372e-04
SA,production,NN2,CD,25,9.528288e-05
SA,production,NN2,CD,26,8.087727e-05
SA,production,NN2,CD,27,7.429132e-05
SA,production,NN2,CD,28,7.601246e-05
SA,production,NN2,CD,29,8.025043e-05
SA,production,NN2,CD,30,7.115474e-05
SA,production,NN2,CD,31,7.884362e-05
SA,production,NN2,CD,32,7.944259e-05
SA,production,NN2,CD,33,8.289225e-05
SA,production,NN2,CD,34,8.743861e-05
SA,production,NN2,CD,35,9.716504e-05
SA,production,NN2,CD,36,1.071033e-04
SA,production,NN2,CD,37,1.106246e-04
SA,production,NN2,CD,38,1.044843e-04
SA,production,NN2,CD,39,8.974231e-05
SA,production,NN2,CD,40,7.553745e-05
SA,production,NN2,CDp,2,0.000000e+00
SA,production,NN2,CDp,3,0.000000e+00
SA,production,NN2,CDp,4,0.000000e+00
SA,production,NN2,CDp,5,0.000000e+00
SA,production,NN2,CDp,6,0.000000e+00
SA,production,NN2,CDp,7,0.000000e+00
SA,production,NN2,CDp,8,0.000000e+00
SA,production,NN2,CDp,9,0.000000e+00
SA,production,NN2,CDp,10,3.236892e-05
SA,production,NN2,CDp,11,4.903812e-05
SA,production,NN2,CDp,12,4.310718e-05
SA,production,NN2,CDp,13,3.477214e-05
SA,production,NN2,CDp,14,3.146001e-05
SA,production,NN2,CDp,15,3.247092e-05
