node,x,y,wall_distance_solver,moved_event_00009,in_quad_layer,displacement_event_00009
5839,1.102617,0.074587,1.268597e-01,1,0,1.592e-03
5840,0.838621,0.522219,4.982439e-01,1,0,6.016e-03
5841,0.868951,0.500596,4.801176e-01,1,0,3.041e-03
5842,0.901325,0.480288,4.636725e-01,1,0,5.136e-03
5843,0.409511,0.662668,6.052431e-01,1,0,6.133e-03
5844,0.491220,0.668815,6.150395e-01,1,0,3.238e-03
5845,0.525689,0.616094,5.644055e-01,1,0,6.796e-03
5846,0.528326,0.668292,6.166674e-01,1,0,4.511e-03
5847,0.601462,0.659704,6.131189e-01,1,0,6.165e-03
5848,0.637173,0.651799,6.080175e-01,1,0,6.696e-03
5849,0.669713,0.641608,6.005753e-01,1,0,4.396e-03
5850,1.014055,0.150240,1.507293e-01,1,0,2.496e-03
5851,1.026556,0.160472,1.626546e-01,1,0,1.737e-03
5852,-0.041571,0.049475,5.967233e-02,1,0,7.837e-04
5853,0.761736,0.620919,5.884472e-01,1,0,6.440e-03
5854,0.729395,0.671864,6.360574e-01,1,0,7.968e-03
5855,0.183689,-0.547002,4.902246e-01,1,0,5.999e-03
5856,0.154324,-0.532298,4.772519e-01,1,0,3.822e-03
5857,25.366001,16.926405,2.966825e+01,0,0,0.000e+00
5858,0.213615,0.562254,5.041824e-01,1,0,4.664e-03
5859,0.262650,0.539602,4.803582e-01,1,0,6.466e-03
5860,-0.008683,-0.258165,2.303247e-01,1,0,2.783e-03
5861,-0.020225,-0.245414,2.214247e-01,1,0,1.687e-03
5862,-0.045776,-0.077117,8.196975e-02,1,0,1.261e-03
5863,1.140958,-0.059451,1.529821e-01,1,0,2.199e-03
5864,1.153743,-0.014756,1.544494e-01,1,0,3.300e-03
5865,1.153328,0.003006,1.533573e-01,1,0,2.351e-03
5866,1.137882,0.015846,1.387901e-01,1,0,6.330e-04
5867,1.147661,0.032111,1.511120e-01,1,0,2.163e-03
5868,1.136753,0.054449,1.471935e-01,1,0,1.536e-03
5869,-0.028320,-0.015795,3.106306e-02,1,0,1.980e-04
5870,-0.024675,-0.012817,2.665926e-02,1,0,3.034e-04
5871,-0.035532,-0.032338,4.479167e-02,1,0,4.433e-04
5872,-0.035773,-0.035888,4.690956e-02,1,0,8.459e-05
5873,-0.034754,-0.028945,4.240653e-02,1,0,6.075e-04
5874,-0.033894,-0.025591,4.007005e-02,1,0,3.146e-04
5875,1.130135,0.065631,1.457481e-01,1,0,1.244e-03
5876,-0.050703,-0.094513,9.848896e-02,1,0,6.543e-04
5877,-0.037664,-0.015329,3.982234e-02,1,0,4.286e-04
5878,-0.040787,-0.013949,4.248524e-02,1,0,2.891e-04
5879,-0.042004,-0.016721,4.437852e-02,1,0,2.445e-04
5880,-0.029444,0.111036,1.005498e-01,1,0,1.203e-03
5881,-0.025673,-0.146444,1.305890e-01,1,0,8.343e-04
5882,-0.034134,-0.151223,1.384642e-01,1,0,4.880e-04
5883,-0.029689,-0.135990,1.228162e-01,1,0,1.363e-03
5884,-20.885353,-20.895218,2.953816e+01,0,0,0.000e+00
5885,-19.489395,-19.700872,2.770687e+01,0,0,0.000e+00
5886,-20.356804,-18.804037,2.770806e+01,0,0,0.000e+00
5887,-22.900581,-21.227182,3.122085e+01,0,0,0.000e+00
5888,-0.017752,-0.002031,1.781409e-02,1,0,9.683e-05
5889,-0.016175,-0.000032,1.617550e-02,1,0,1.951e-04
5890,-0.039841,-0.131098,1.231369e-01,1,0,9.205e-04
5891,-0.039813,-0.142097,1.328225e-01,1,0,1.123e-03
5892,-19.902025,21.544512,2.932437e+01,0,0,0.000e+00
5893,-18.546368,22.094446,2.884015e+01,0,0,0.000e+00
5894,-19.422132,23.740808,3.066641e+01,0,0,0.000e+00
5895,-0.048129,0.148574,1.424416e-01,1,0,1.423e-03
5896,-0.053481,0.126089,1.258209e-01,1,0,1.860e-03
5897,-0.056499,0.115721,1.189331e-01,1,0,5.366e-04
5898,-0.032442,0.019680,3.629842e-02,1,0,9.258e-05
5899,-0.029419,0.019388,3.339483e-02,1,0,3.315e-04
5900,-0.030340,0.022985,3.572429e-02,1,0,1.916e-04
5901,-0.027472,0.022959,3.315384e-02,1,0,4.220e-04
5902,-0.024979,0.006015,2.542278e-02,1,0,9.477e-05
5903,-0.023285,0.004939,2.359829e-02,1,0,3.472e-04
5904,-0.019608,-0.003802,1.981324e-02,1,0,2.926e-04
5905,-0.020218,-0.005192,2.059228e-02,1,0,2.826e-04
