case,model,step,x,y,Cfx_ref,Cfx_case,Cp_ref,Cp_case,Yplus_ref,Yplus_case
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.027282,0.027208,9.888006e-03,9.888006e-03,-1.999132e+00,-1.999132e+00,2.1903,2.1903
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.031924,0.029206,9.493722e-03,9.493722e-03,-1.916773e+00,-1.916773e+00,2.1302,2.1302
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.037103,0.031227,9.101283e-03,9.101283e-03,-1.833925e+00,-1.833925e+00,2.0728,2.0728
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.042868,0.033268,8.718544e-03,8.718544e-03,-1.755682e+00,-1.755682e+00,2.0183,2.0183
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.049273,0.035326,8.348347e-03,8.348347e-03,-1.678379e+00,-1.678379e+00,1.9665,1.9665
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.056378,0.037395,7.992664e-03,7.992664e-03,-1.605734e+00,-1.605734e+00,1.9172,1.9172
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.064249,0.039470,7.641327e-03,7.641327e-03,-1.534372e+00,-1.534372e+00,1.8688,1.8688
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.072960,0.041543,7.227992e-03,7.227992e-03,-1.467150e+00,-1.467150e+00,1.8129,1.8129
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.082591,0.043605,7.078444e-03,7.078444e-03,-1.402031e+00,-1.402031e+00,1.7903,1.7903
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.092263,0.045468,6.849233e-03,6.849233e-03,-1.357925e+00,-1.357925e+00,1.7580,1.7580
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.101902,0.047146,6.605434e-03,6.605434e-03,-1.318769e+00,-1.318769e+00,1.7241,1.7241
RANS_SA_WD_0.10-0.15_ConsGalerkinProj_OneShot_Second,SA,199,0.111503,0.048659,6.375414e-03,6.375414e-03,-1.284330e+00,-1.284330e+00,1.6920,1.6920
