setting,quantity,coeff,step,value
L0,NN2,CD,38,3.221155e-05
L0,NN2,CD,39,1.637543e-05
L0,NN2,CD,40,-4.276030e-07
L0,NN2,CDp,2,0.000000e+00
L0,NN2,CDp,3,0.000000e+00
L0,NN2,CDp,4,0.000000e+00
L0,NN2,CDp,5,0.000000e+00
L0,NN2,CDp,6,0.000000e+00
L0,NN2,CDp,7,0.000000e+00
L0,NN2,CDp,8,0.000000e+00
L0,NN2,CDp,9,0.000000e+00
L0,NN2,CDp,10,6.541396e-06
L0,NN2,CDp,11,2.024294e-05
L0,NN2,CDp,12,1.612453e-05
L0,NN2,CDp,13,1.341190e-05
L0,NN2,CDp,14,1.090087e-05
L0,NN2,CDp,15,5.143201e-06
L0,NN2,CDp,16,6.230532e-07
L0,NN2,CDp,17,-6.830286e-07
L0,NN2,CDp,18,-1.181819e-06
L0,NN2,CDp,19,-4.349994e-06
L0,NN2,CDp,20,-2.506653e-05
L0,NN2,CDp,21,-1.634212e-05
L0,NN2,CDp,22,-3.033922e-06
L0,NN2,CDp,23,1.942455e-06
L0,NN2,CDp,24,7.557228e-06
L0,NN2,CDp,25,1.615449e-05
L0,NN2,CDp,26,2.038323e-05
L0,NN2,CDp,27,2.087735e-05
L0,NN2,CDp,28,2.042064e-05
L0,NN2,CDp,29,2.147622e-05
L0,NN2,CDp,30,3.087504e-05
L0,NN2,CDp,31,2.648261e-05
L0,NN2,CDp,32,-1.105700e-06
L0,NN2,CDp,33,-9.706491e-06
L0,NN2,CDp,34,-2.043838e-06
L0,NN2,CDp,35,1.140879e-05
L0,NN2,CDp,36,2.780875e-05
L0,NN2,CDp,37,3.730941e-05
L0,NN2,CDp,38,3.218936e-05
L0,NN2,CDp,39,1.635569e-05
L0,NN2,CDp,40,-4.546028e-07
L0,NN2,CDv,2,0.000000e+00
L0,NN2,CDv,3,0.000000e+00
L0,NN2,CDv,4,0.000000e+00
L0,NN2,CDv,5,0.000000e+00
L0,NN2,CDv,6,0.000000e+00
L0,NN2,CDv,7,0.000000e+00
L0,NN2,CDv,8,0.000000e+00
L0,NN2,CDv,9,0.000000e+00
L0,NN2,CDv,10,3.519364e-09
L0,NN2,CDv,11,8.437091e-09
L0,NN2,CDv,12,7.271544e-09
L0,NN2,CDv,13,5.533380e-09
L0,NN2,CDv,14,4.904551e-09
L0,NN2,CDv,15,5.303532e-09
L0,NN2,CDv,16,4.117281e-09
L0,NN2,CDv,17,2.831412e-09
L0,NN2,CDv,18,1.589617e-09
L0,NN2,CDv,19,1.434355e-09
L0,NN2,CDv,20,5.536688e-09
L0,NN2,CDv,21,1.104426e-08
L0,NN2,CDv,22,1.405783e-08
L0,NN2,CDv,23,1.625116e-08
L0,NN2,CDv,24,1.553066e-08
L0,NN2,CDv,25,1.555442e-08
L0,NN2,CDv,26,1.656529e-08
L0,NN2,CDv,27,1.696565e-08
L0,NN2,CDv,28,1.644868e-08
L0,NN2,CDv,29,1.403247e-08
L0,NN2,CDv,30,1.583300e-08
L0,NN2,CDv,31,2.194682e-08
L0,NN2,CDv,32,2.304360e-08
L0,NN2,CDv,33,2.707245e-08
L0,NN2,CDv,34,2.952544e-08
L0,NN2,CDv,35,2.981201e-08
L0,NN2,CDv,36,2.775138e-08
L0,NN2,CDv,37,2.592451e-08
L0,NN2,CDv,38,2.509850e-08
L0,NN2,CDv,39,2.481764e-08
L0,NN2,CDv,40,2.950019e-08
L0,P,CL,2,0.000000e+00
L0,P,CL,3,0.000000e+00
L0,P,CL,4,0.000000e+00
L0,P,CL,5,0.000000e+00
L0,P,CL,6,0.000000e+00
L0,P,CL,7,0.000000e+00
L0,P,CL,8,0.000000e+00
L0,P,CL,9,0.000000e+00
L0,P,CL,10,-5.101500e-06
L0,P,CL,11,-1.375900e-06
L0,P,CL,12,4.417900e-06
L0,P,CL,13,6.399500e-06
L0,P,CL,14,6.830000e-06
L0,P,CL,15,5.198600e-06
L0,P,CL,16,4.216600e-06
L0,P,CL,17,5.050000e-06
L0,P,CL,18,3.413700e-06
L0,P,CL,19,-3.486400e-06
L0,P,CL,20,-1.140000e-07
L0,P,CL,21,-1.926390e-05
L0,P,CL,22,3.496100e-06
L0,P,CL,23,2.281000e-05
L0,P,CL,24,2.287470e-05
L0,P,CL,25,1.333720e-05
L0,P,CL,26,3.848700e-06
L0,P,CL,27,-3.545600e-06
L0,P,CL,28,-5.806100e-06
L0,P,CL,29,-1.931000e-06
L0,P,CL,30,-6.923400e-06
L0,P,CL,31,-7.554200e-06
L0,P,CL,32,-1.132240e-05
L0,P,CL,33,-1.775680e-05
L0,P,CL,34,-1.777050e-05
L0,P,CL,35,-2.013400e-05
L0,P,CL,36,-2.537660e-05
L0,P,CL,37,-2.424980e-05
L0,P,CL,38,-1.322550e-05
L0,P,CL,39,2.561800e-06
L0,P,CL,40,2.246080e-05
L0,P,CD,2,0.000000e+00
L0,P,CD,3,0.000000e+00
L0,P,CD,4,0.000000e+00
L0,P,CD,5,0.000000e+00
L0,P,CD,6,0.000000e+00
L0,P,CD,7,0.000000e+00
L0,P,CD,8,0.000000e+00
L0,P,CD,9,0.000000e+00
L0,P,CD,10,-9.608700e-07
L0,P,CD,11,-4.372127e-06
L0,P,CD,12,-2.541298e-06
L0,P,CD,13,3.686610e-07
L0,P,CD,14,-1.032910e-07
L0,P,CD,15,-8.761650e-07
L0,P,CD,16,-1.099585e-06
L0,P,CD,17,-9.442840e-07
L0,P,CD,18,-4.301060e-07
L0,P,CD,19,3.006920e-07
L0,P,CD,20,6.736151e-06
L0,P,CD,21,1.193474e-05
L0,P,CD,22,1.279340e-05
L0,P,CD,23,1.932485e-06
L0,P,CD,24,-3.621023e-06
L0,P,CD,25,-1.512266e-06
L0,P,CD,26,7.374400e-07
L0,P,CD,27,1.615678e-06
L0,P,CD,28,1.816300e-08
L0,P,CD,29,-3.045816e-06
L0,P,CD,30,-4.923497e-06
L0,P,CD,31,-2.799827e-06
L0,P,CD,32,-1.234981e-05
L0,P,CD,33,-1.015460e-05
L0,P,CD,34,-4.234539e-06
L0,P,CD,35,1.396396e-06
L0,P,CD,36,8.040059e-06
L0,P,CD,37,1.326831e-05
L0,P,CD,38,1.326430e-05
L0,P,CD,39,8.533521e-06
L0,P,CD,40,7.163025e-06
L0,P,CDp,2,0.000000e+00
L0,P,CDp,3,0.000000e+00
L0,P,CDp,4,0.000000e+00
L0,P,CDp,5,0.000000e+00
L0,P,CDp,6,0.000000e+00
L0,P,CDp,7,0.000000e+00
L0,P,CDp,8,0.000000e+00
L0,P,CDp,9,0.000000e+00
L0,P,CDp,10,-9.604958e-07
L0,P,CDp,11,-4.372145e-06
L0,P,CDp,12,-2.540427e-06
L0,P,CDp,13,3.685689e-07
L0,P,CDp,14,-1.012481e-07
L0,P,CDp,15,-8.759464e-07
L0,P,CDp,16,-1.099080e-06
L0,P,CDp,17,-9.452617e-07
L0,P,CDp,18,-4.307343e-07
L0,P,CDp,19,3.014784e-07
L0,P,CDp,20,6.732215e-06
L0,P,CDp,21,1.193366e-05
L0,P,CDp,22,1.279217e-05
L0,P,CDp,23,1.936083e-06
L0,P,CDp,24,-3.619862e-06
L0,P,CDp,25,-1.512086e-06
L0,P,CDp,26,7.371456e-07
L0,P,CDp,27,1.614141e-06
L0,P,CDp,28,1.850837e-08
L0,P,CDp,29,-3.045933e-06
L0,P,CDp,30,-4.925063e-06
L0,P,CDp,31,-2.799714e-06
L0,P,CDp,32,-1.234983e-05
L0,P,CDp,33,-1.015824e-05
L0,P,CDp,34,-4.239031e-06
L0,P,CDp,35,1.392114e-06
L0,P,CDp,36,8.036249e-06
L0,P,CDp,37,1.326559e-05
L0,P,CDp,38,1.326491e-05
L0,P,CDp,39,8.535841e-06
L0,P,CDp,40,7.163640e-06
L0,P,CDv,2,0.000000e+00
L0,P,CDv,3,0.000000e+00
L0,P,CDv,4,0.000000e+00
