case,model,step,which,field,src_integral,tgt_integral,rel_defect_(tgt-src)/src,src_change_since_prev_event
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,69,state,Momentum_y,3.275320768233e+02,3.275320768289e+02,1.712e-11,-1.302e-08
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,69,state,Energy,5.616358237628e+04,5.616358237627e+04,-2.813e-13,-1.264e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,69,state,Nu_Tilde,1.588961478655e-03,1.588961474929e-03,-2.345e-09,-3.442e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,78,bdf2_level,Density,3.136378599927e+04,3.136378599926e+04,-2.769e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,78,bdf2_level,Momentum_x,3.119235063665e+03,3.119235063646e+03,-5.914e-12,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,78,bdf2_level,Momentum_y,3.275320758143e+02,3.275320758083e+02,-1.843e-11,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,78,bdf2_level,Energy,5.616358237627e+04,5.616358237625e+04,-3.617e-13,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,78,bdf2_level,Nu_Tilde,1.588960907594e-03,1.588960916365e-03,5.520e-09,
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,79,state,Density,3.136378599927e+04,3.136378599926e+04,-2.689e-13,-2.311e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,79,state,Momentum_x,3.119235063570e+03,3.119235063552e+03,-5.681e-12,-1.738e-10
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,79,state,Momentum_y,3.275320762532e+02,3.275320762474e+02,-1.752e-11,-1.741e-09
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,79,state,Energy,5.616358237627e+04,5.616358237625e+04,-3.618e-13,-2.309e-13
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,79,state,Nu_Tilde,1.588960866712e-03,1.588960875410e-03,5.474e-09,-3.851e-07
RANS_SA_WD_0.01-20_ConsGalerkinProj_Drift_Second,SA,88,bdf2_level,Density,3.136378599926e+04,3.136378599925e+04,-2.525e-13,
