lag,d005,d010_SF2,d010,d020_long,d020
72,8.249810000000e-05,1.177293000000e-04,5.705070000000e-05,-1.462800000000e-05,-3.632570000000e-05
73,8.259320000000e-05,1.178663000000e-04,5.721680000000e-05,-1.465320000000e-05,-3.651140000000e-05
74,8.268680000000e-05,1.179754000000e-04,5.736400000000e-05,-1.469080000000e-05,-3.669410000000e-05
75,8.279760000000e-05,1.180594000000e-04,5.748710000000e-05,-1.474050000000e-05,-3.687010000000e-05
76,8.293780000000e-05,1.181220000000e-04,5.758550000000e-05,-1.480150000000e-05,-3.703700000000e-05
77,8.311050000000e-05,1.181841000000e-04,5.766390000000e-05,-1.486850000000e-05,-3.719310000000e-05
78,8.330920000000e-05,1.182713000000e-04,5.772920000000e-05,-1.493500000000e-05,-3.733990000000e-05
79,8.352240000000e-05,1.183904000000e-04,5.778950000000e-05,-1.499560000000e-05,-3.748060000000e-05
80,8.373770000000e-05,1.185350000000e-04,5.785270000000e-05,-1.504770000000e-05,-3.761940000000e-05
81,8.394570000000e-05,1.186926000000e-04,5.792560000000e-05,-1.509080000000e-05,-3.776050000000e-05
82,8.414190000000e-05,1.188525000000e-04,5.801290000000e-05,-1.512670000000e-05,-3.790640000000e-05
83,8.432650000000e-05,1.190077000000e-04,5.811630000000e-05,-1.515810000000e-05,-3.805780000000e-05
84,8.450170000000e-05,1.191538000000e-04,5.823420000000e-05,-1.518730000000e-05,-3.821370000000e-05
85,8.466990000000e-05,1.192883000000e-04,5.836310000000e-05,-1.521580000000e-05,-3.837150000000e-05
86,8.483260000000e-05,1.194104000000e-04,5.849820000000e-05,-1.524440000000e-05,-3.852830000000e-05
87,8.498880000000e-05,1.195202000000e-04,5.863390000000e-05,-1.527340000000e-05,-3.868170000000e-05
88,8.513740000000e-05,1.196197000000e-04,5.876600000000e-05,-1.530340000000e-05,-3.882980000000e-05
89,8.527720000000e-05,1.197118000000e-04,5.889110000000e-05,-1.533620000000e-05,-3.897190000000e-05
90,8.540900000000e-05,1.198004000000e-04,5.900760000000e-05,-1.537390000000e-05,-3.910800000000e-05
91,8.553630000000e-05,1.198903000000e-04,5.911550000000e-05,-1.541790000000e-05,-3.923840000000e-05
92,8.566470000000e-05,1.199859000000e-04,5.921550000000e-05,-1.546870000000e-05,-3.936430000000e-05
93,8.580110000000e-05,1.200910000000e-04,5.930890000000e-05,-1.552460000000e-05,-3.948700000000e-05
94,8.595160000000e-05,1.202083000000e-04,5.939790000000e-05,-1.558280000000e-05,-3.960810000000e-05
95,8.611950000000e-05,1.203383000000e-04,5.948430000000e-05,-1.564000000000e-05,-3.972970000000e-05
96,8.630430000000e-05,1.204800000000e-04,5.957050000000e-05,-1.569380000000e-05,-3.985300000000e-05
97,8.650120000000e-05,1.206300000000e-04,5.965830000000e-05,-1.574330000000e-05,-3.997900000000e-05
98,8.670230000000e-05,1.207834000000e-04,5.974920000000e-05,-1.578900000000e-05,-4.010770000000e-05
99,8.689840000000e-05,1.209343000000e-04,5.984430000000e-05,-1.583250000000e-05,-4.023780000000e-05
100,8.708100000000e-05,1.210762000000e-04,5.994320000000e-05,-1.587560000000e-05,-4.036780000000e-05
101,8.724440000000e-05,1.212037000000e-04,6.004530000000e-05,-1.591890000000e-05,-4.049570000000e-05
102,8.738680000000e-05,1.213132000000e-04,6.014870000000e-05,-1.596290000000e-05,-4.062010000000e-05
103,8.751130000000e-05,1.214041000000e-04,6.025180000000e-05,-1.600730000000e-05,-4.074040000000e-05
104,8.762470000000e-05,1.214793000000e-04,6.035280000000e-05,-1.605220000000e-05,-4.085700000000e-05
105,8.773550000000e-05,1.215447000000e-04,6.045100000000e-05,-1.609780000000e-05,-4.097100000000e-05
106,8.785230000000e-05,1.216084000000e-04,6.054640000000e-05,-1.614530000000e-05,-4.108390000000e-05
107,8.798120000000e-05,1.216779000000e-04,6.063950000000e-05,-1.619500000000e-05,-4.119790000000e-05
108,8.812400000000e-05,1.217591000000e-04,6.073100000000e-05,-1.624730000000e-05,-4.131500000000e-05
109,8.827960000000e-05,1.218553000000e-04,6.082190000000e-05,-1.630130000000e-05,-4.143650000000e-05
110,8.844350000000e-05,1.219651000000e-04,6.091230000000e-05,-1.635500000000e-05,-4.156370000000e-05
111,8.861050000000e-05,1.220850000000e-04,6.100270000000e-05,-1.640670000000e-05,-4.169640000000e-05
112,8.877530000000e-05,1.222087000000e-04,6.109260000000e-05,-1.645450000000e-05,-4.183310000000e-05
113,8.893370000000e-05,1.223298000000e-04,6.118200000000e-05,-1.649750000000e-05,-4.197140000000e-05
114,8.908300000000e-05,1.224424000000e-04,6.127040000000e-05,-1.653550000000e-05,-4.210790000000e-05
115,8.922210000000e-05,1.225428000000e-04,6.135750000000e-05,-1.656940000000e-05,-4.223920000000e-05
