grid,dim,solution,interp_order,method,resolution,n_points,h,field,geom_defect,supermesh_defect
Mixed,2,Asym,ThirdOrder,NN,128,24408,0.006400794772021405,Momentum_y,0.00021163466981076172,nan
Mixed,2,Asym,ThirdOrder,NN,128,24408,0.006400794772021405,Energy,9.66257446686102e-06,nan
Mixed,2,Asym,ThirdOrder,NN,256,96409,0.0032206327947704866,Density,7.52894120864757e-07,nan
Mixed,2,Asym,ThirdOrder,NN,256,96409,0.0032206327947704866,Momentum_x,3.112600484559364e-05,nan
Mixed,2,Asym,ThirdOrder,NN,256,96409,0.0032206327947704866,Momentum_y,3.112600484559364e-05,nan
Mixed,2,Asym,ThirdOrder,NN,256,96409,0.0032206327947704866,Energy,1.53158188818646e-06,nan
Mixed,2,Constant,FirstOrder,NN,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,FirstOrder,NN,64,6073,0.012832118438741323,Momentum_x,1.1842378929335003e-16,nan
Mixed,2,Constant,FirstOrder,NN,64,6073,0.012832118438741323,Momentum_y,1.1842378929335003e-16,nan
Mixed,2,Constant,FirstOrder,NN,64,6073,0.012832118438741323,Energy,2.399386337271287e-16,nan
Mixed,2,Constant,FirstOrder,NN,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,FirstOrder,NN,128,24408,0.006400794772021405,Momentum_x,3.552713678800501e-16,nan
Mixed,2,Constant,FirstOrder,NN,128,24408,0.006400794772021405,Momentum_y,3.552713678800501e-16,nan
Mixed,2,Constant,FirstOrder,NN,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,FirstOrder,NN,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
Mixed,2,Constant,FirstOrder,NN,256,96409,0.0032206327947704866,Momentum_x,1.302661682226851e-15,nan
Mixed,2,Constant,FirstOrder,NN,256,96409,0.0032206327947704866,Momentum_y,1.302661682226851e-15,nan
Mixed,2,Constant,FirstOrder,NN,256,96409,0.0032206327947704866,Energy,7.198159011813867e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,64,6073,0.012832118438741323,Density,5.551115123125781e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,64,6073,0.012832118438741323,Momentum_x,2.3684757858670006e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,64,6073,0.012832118438741323,Momentum_y,2.3684757858670006e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,64,6073,0.012832118438741323,Energy,1.1996931686356436e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,128,24408,0.006400794772021405,Density,1.1102230246251567e-15,nan
Mixed,2,Constant,SecondOrder,Barycentric,128,24408,0.006400794772021405,Momentum_x,2.368475785867001e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,128,24408,0.006400794772021405,Momentum_y,2.368475785867001e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,128,24408,0.006400794772021405,Energy,5.998465843178219e-16,nan
Mixed,2,Constant,SecondOrder,Barycentric,256,96409,0.0032206327947704866,Density,1.6653345369377334e-15,nan
