grid,dim,solution,interp_order,method,resolution,n_points,h,h_nominal,case,ref_source,field,L1,L2,Linf,rel_L1,rel_L2,rel_Linf,order_L2
Mixed,2,Asym,ThirdOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_Barycentric_64,reference_file,Momentum_x,0.011547597160686046,0.020506717830964128,0.2721606147481168,0.00020017374821336686,0.00026254955830247527,0.0010057964042556435,nan
Mixed,2,Asym,ThirdOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_ThirdOrder_Barycentric_128,reference_file,Momentum_x,0.001040362656052228,0.0017212938816373161,0.028921201413844244,1.7864390114108058e-05,2.194485669722915e-05,0.00010688363869872821,3.562289791215372
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_ThirdOrder_Barycentric_256,reference_file,Momentum_x,0.00010928034847216837,0.00018142796940603205,0.0029755965795725814,1.867325299773085e-06,2.3056356259594037e-06,1.0993072267044718e-05,3.275812020071562
Mixed,2,Asym,ThirdOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_Barycentric_64,reference_file,Momentum_y,0.005773798580343023,0.010253358915482064,0.1360803073740584,0.00020017374821336686,0.00026254955830247527,0.0010057964042556435,nan
Mixed,2,Asym,ThirdOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_ThirdOrder_Barycentric_128,reference_file,Momentum_y,0.000520181328026114,0.0008606469408186581,0.014460600706922122,1.7864390114108058e-05,2.194485669722915e-05,0.00010688363869872821,3.562289791215372
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_ThirdOrder_Barycentric_256,reference_file,Momentum_y,5.4640174236084184e-05,9.071398470301602e-05,0.0014877982897862907,1.867325299773085e-06,2.3056356259594037e-06,1.0993072267044718e-05,3.275812020071562
Mixed,2,Asym,ThirdOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_Barycentric_64,reference_file,Energy,36.29839051456546,59.72936831451468,672.4777917799074,3.74907109075397e-05,5.904139307024962e-05,0.00036112091716043596,nan
Mixed,2,Asym,ThirdOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_ThirdOrder_Barycentric_128,reference_file,Energy,3.4130719078617613,5.355455441539693,77.51361684524454,3.5199581456478683e-06,5.2849980269373195e-06,4.162529261443947e-05,3.4674437461674397
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_ThirdOrder_Barycentric_256,reference_file,Energy,0.36858380884921504,0.578005311337831,8.246620284742676,3.802464660985989e-07,5.703994680764352e-07,4.427790197904478e-06,3.241328425780291
Mixed,2,Asym,ThirdOrder,Barycentric,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_Barycentric_64,reference_file,ALL_FIELDS,9.078938349012612,29.864686357432458,672.4777917799074,3.75051989157812e-05,5.904139719978489e-05,0.00036112091716043596,nan
Mixed,2,Asym,ThirdOrder,Barycentric,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_ThirdOrder_Barycentric_128,reference_file,ALL_FIELDS,0.8536591194985051,2.6777278936589455,77.51361684524454,3.5212457376085776e-06,5.284998348360198e-06,4.162529261443947e-05,3.4674437592594387
Mixed,2,Asym,ThirdOrder,Barycentric,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_ThirdOrder_Barycentric_256,reference_file,ALL_FIELDS,0.09218704172589164,0.2890026734652652,8.246620284742676,3.803806323781393e-07,5.703995010494169e-07,4.427790197904478e-06,3.241328430129314
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_64,reference_file,Density,5.081531531020533e-05,7.331586145470188e-05,0.0005780176294840622,2.1118706631755747e-05,3.0128548686328448e-05,0.0001717748459848582,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_128,reference_file,Density,5.184906543695701e-06,7.524244944765061e-06,8.702149990069685e-05,2.1533846335877367e-06,3.089748978936796e-06,2.5861118148455848e-05,3.273258387689561
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_256,reference_file,Density,5.778559483922858e-07,8.33417398080026e-07,8.892544802741043e-06,2.4005321090861434e-07,3.4228945429206687e-07,2.642490252807197e-06,3.2035661253310335
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_64,reference_file,Momentum_x,0.013908931490069906,0.024542430660799742,0.33164883203435025,0.00024110669183101402,0.0003142191930847449,0.0012256409805821893,nan
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,128,24408,0.006400794772021405,0.0078125,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_128,reference_file,Momentum_x,0.0013266223404716992,0.002183671198112346,0.03694671863446608,2.2779844015362056e-05,2.7839726863410263e-05,0.00013654341910358887,3.4784970665223165
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,256,96409,0.0032206327947704866,0.00390625,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_256,reference_file,Momentum_x,0.00014385840743754506,0.000235431447115016,0.0050697614431616245,2.4581770423399363e-06,2.991926403170727e-06,1.872977483034952e-05,3.2428644768727266
Mixed,2,Asym,ThirdOrder,ConsGalerkinProj,64,6073,0.012832118438741323,0.015625,Mixed2D_Asym_ThirdOrder_ConsGalerkinProj_64,reference_file,Momentum_y,0.006954465745034953,0.012271215330399871,0.16582441601717512,0.00024110669183101402,0.0003142191930847449,0.0012256409805821893,nan
